ID,Cattle ID,BRD,Date/Collection,Ave.temp,Temp,Age,PenCode,MbPre_Abs,Mbovis_copies,Mbovis_RelAbunBacteria,PmPres_Abs,Pm_copies,Pm_RelAbunBacteria,HsPres_Abs,Hs_copies,Hs_RelAbunBacteria,MhPres_Abs,Mh_copies,Mh_RelAbunBacteria,16SPres_Abs,16S_copies,4bacteriaAbundance
Dairy32,Black 989,Healthy,8/12/20,43.71,103.4,0.7,5,1,7658.24,0.028174012,1,263858.61,0.970713333,1,302.4411893,0.001112655,1,503.75,0.001853253,1,261069571.4,271819.2912
Dairy33,Blue 10,Healthy,11/18/20,40.08,103.7,0.67,5,0,0,0,1,28939.4,0.988453599,1,338.049168,0.011546401,0,0,0,1,164343930.8,29277.44917
Dairy34,Blue 102,Healthy,11/18/20,40.08,102.5,0.585,1,1,4930352.03,0.631245376,1,2879987.46,0.368732041,1,176.3876151,2.26E-05,0,0,0,1,57314414.89,7810515.878
Dairy35,Blue 105,BRD,11/4/20,60.5,104.1,0.55,3,0,0,0,1,3123.21,0.999957939,0,0,0,1,982367.78,314.524627,1,7477736.75,3123.341372
Dairy36,Blue 121,Healthy,11/18/20,40.08,103.6,0.585,3,1,87150.88,0.044180278,1,1885180.05,0.955673421,1,288.5955109,0.000146301,1,36515.47,0.018511157,1,223685399.7,1972619.526
Dairy37,Blue 122,Healthy,10/28/20,41.11,103.6,0.53,3,1,799194.13,0.668915652,1,395366.12,0.330916577,1,200.4335044,0.00016776,1,948253.98,0.793676912,1,71207305.46,1194760.697
Dairy38,Blue 129,BRD,10/28/20,41.11,107.4,0.53,3,1,3188843.05,0.980368626,1,63695.98,0.019582507,1,158.9499575,4.89E-05,1,59631.72,0.018333002,1,35873400.24,3252697.982
Dairy39,Blue 139,Healthy,11/18/20,40.08,103.3,0.585,3,0,0,0,1,515950.74,0.999354585,1,333.2153001,0.000645411,1,17992.23,0.034849485,1,8940077.77,516283.9573
Dairy40,Blue 167,Healthy,10/28/20,41.11,102.5,0.53,1,1,36230.61,0.081633136,1,407244.68,0.917584892,1,347.0567097,0.000781972,0,0,0,1,40663944.05,443822.3467
Dairy41,Blue 180,Healthy,11/11/20,40,102.9,0.57,2,1,9310.9,0.017282206,1,529217.08,0.98229374,1,228.4534695,0.000424038,1,129305.26,0.240006894,1,15453924.63,538756.4418
Dairy42,Blue 181,BRD,10/28/20,41.11,104.9,0.53,1,1,93188.48,0.282335063,1,236501.93,0.716534784,1,373.0098196,0.001130116,1,258883.5,0.784344689,1,20785446.07,330063.4323
Dairy43,Blue 183,Healthy,11/18/20,40.08,102.4,0.585,1,1,577954.49,0.262305874,1,1625148.34,0.73757703,1,258.0048908,0.000117096,0,0,0,1,17955854.51,2203360.835
Dairy44,Blue 187,Healthy,11/4/20,60.5,102.7,0.55,3,1,21495.23,0.06900485,1,289700.05,0.930006729,1,307.8959102,0.00098842,1,7497.51,0.024068808,1,40784085.92,311503.1761
Dairy45,Blue 192,Healthy,10/28/20,41.11,103.4,0.53,3,0,0,0,0,0,0,1,409.2604475,1,0,0,0,1,31104071.4,409.2604475
Dairy46,Blue 271,BRD,11/4/20,60.5,105.6,0.55,3,1,97864.55,0.20451509,1,380328.76,0.794802311,1,326.6088665,0.00068254,1,990212.77,2.069323913,1,34582234.2,478519.9475
Dairy47,Blue 371,Healthy,10/28/20,41.11,,0.45,0,0,0,0,1,617587.23,0.999618409,1,235.7556897,0.000381591,0,0,0,1,1140970636,617822.9857
Dairy48,Blue 373,BRD,10/28/20,41.11,106.2,0.45,0,1,781162.31,0.380205994,1,1273257.07,0.61971752,1,157.1463418,7.65E-05,1,35612.49,0.017333251,1,61842992.77,2054576.527
Dairy49,Blue 374,BRD,10/28/20,41.11,106,0.45,0,1,24514.02,0.020906337,1,1147866.49,0.978937086,1,183.5966285,0.000156577,1,89772.79,0.076561093,1,248682454.3,1172564.107
Dairy50,Blue 383,BRD,11/4/20,60.5,104.6,0.47,0,1,888308.93,0.500605258,1,885992.77,0.499299989,1,168.1366705,9.48E-05,1,14286.86,0.00805134,1,38747282.32,1774469.837
Dairy51,Blue 384,Healthy,11/4/20,60.5,102.2,0.47,0,0,0,0,1,1345000.67,0.999871374,1,173.0242091,0.000128626,1,18302.54,0.013606079,1,48828715.51,1345173.695
Dairy52,Blue 385,Healthy,11/4/20,60.5,103.4,0.47,0,0,0,0,1,185780.8,0.998624307,1,255.9295059,0.001375693,0,0,0,1,13915064.83,186036.7295
Dairy53,Blue 386,BRD,11/4/20,60.5,104.1,0.47,0,1,2990097.94,0.627244378,1,1776806.05,0.372727458,1,134.2567694,2.82E-05,1,607122.45,0.127358418,1,4.63E+12,4767038.247
Dairy54,Blue 415,BRD,12/2/20,33.04,103,0.54,1,1,5324624.83,0.81420122,1,1214918.84,0.185776169,1,147.8658437,2.26E-05,1,25545.12,0.003906166,1,608892924.7,6539691.536
Dairy55,Blue 416,Healthy,12/2/20,33.04,102.9,0.54,1,1,6516.94,0.002872129,1,2262348.01,0.997056272,1,162.460306,7.16E-05,1,3869.45,0.001705334,1,21003857.39,2269027.41
Dairy56,Blue 417,Healthy,12/2/20,33.04,103.5,0.54,1,0,0,0,1,2594.94,0.929182043,1,197.7743238,0.070817957,0,0,0,1,106927258,2792.714324
Dairy57,Blue 43,Healthy,10/28/20,41.11,103.3,0.525,3,0,0,0,1,557076.34,1,0,0,0,0,0,0,1,17757361.45,557076.34
