ID,BRD,Date/Collection,Ave.temp,Temp,Age,PenCode,MbPre_Abs,Mbovis_copies,PmPres_Abs,Pm_copies,HsPres_Abs,Hs_copies,MhPres_Abs,Mh_copies,16SPres_Abs,16S_copies
Dairy49,BRD,10/28/20,41.11,106,0.45,0,1,24514.02,1,1147866.49,1,183.5966285,1,89772.79,1,248682454.3
Dairy50,BRD,11/4/20,60.5,104.6,0.47,0,1,888308.93,1,885992.77,1,168.1366705,1,14286.86,1,38747282.32
Dairy51,Healthy,11/4/20,60.5,102.2,0.47,0,0,0,1,1345000.67,1,173.0242091,1,18302.54,1,48828715.51
Dairy52,Healthy,11/4/20,60.5,103.4,0.47,0,0,0,1,185780.8,1,255.9295059,0,0,1,13915064.83
Dairy53,BRD,11/4/20,60.5,104.1,0.47,0,1,2990097.94,1,1776806.05,1,134.2567694,1,607122.45,1,4.63E+12
Dairy54,BRD,12/2/20,33.04,103,0.54,1,1,5324624.83,1,1214918.84,1,147.8658437,1,25545.12,1,608892924.7
Dairy55,Healthy,12/2/20,33.04,102.9,0.54,1,1,6516.94,1,2262348.01,1,162.460306,1,3869.45,1,21003857.39
Dairy56,Healthy,12/2/20,33.04,103.5,0.54,1,0,0,1,2594.94,1,197.7743238,0,0,1,106927258
Dairy57,Healthy,10/28/20,41.11,103.3,0.525,3,0,0,1,557076.34,0,0,0,0,1,17757361.45
Dairy58,BRD,11/18/20,40.08,105.2,0.58,1,1,484723.86,1,10741058.82,1,334.0585048,0,0,1,7.24E+11
Dairy59,Healthy,11/18/20,40.08,102.5,0.58,3,1,16676.97,1,768791.96,1,225.8077328,1,34902.26,1,56280968.14
Dairy60,BRD,11/11/20,40,106.5,0.56,4,1,66752.19,1,19996.54,1,202.1135915,1,12856.17,1,2929162.17
Dairy61,Healthy,11/11/20,40,106.6,0.56,2,1,8996.85,1,1104030.7,1,198.9626287,1,328076.65,1,188202144.7
Dairy62,Healthy,7/21/20,74,103.3,1.45,0,1,942491.32,1,2970771.4,1,245.3089065,1,1360.88,1,1390636864
Dairy63,Healthy,7/21/20,74,102.3,1.45,0,0,0,1,2843.33,1,255.1921139,0,0,1,303921189.9
Dairy64,Healthy,8/12/20,43.71,103.1,0.7,5,0,0,1,684962.89,1,330.5692253,1,7870.03,1,367019824.6
Dairy65,BRD,8/12/20,43.71,106.3,0.7,5,0,0,1,1988.9,1,145.5854977,1,236277.83,1,455582882.2
Dairy66,Healthy,8/26/20,80.29,103.4,0.74,2,1,248588.19,1,1118586.26,1,198.7608178,1,29664.32,1,258866838.4
Dairy67,BRD,8/26/20,80.29,104.2,0.74,6,1,1051721.4,1,74442.89,1,162.768203,1,11910.04,1,91600579.32
Dairy68,BRD,7/14/20,72.71,104.6,0.62,3,1,1593.56,1,100551.57,1,246.5729598,1,138342.99,1,296862708.7
Dairy69,BRD,9/30/20,54.88,104.1,0.755,6,0,0,1,198768.65,1,273.0421736,0,0,1,120850227.1
Dairy70,Healthy,8/26/20,80.29,102.7,0.61,3,1,398414.27,1,1320834.78,1,156.985439,1,1202.99,1,37935904.73
Dairy71,Healthy,9/30/20,54.88,102.7,0.71,4,0,0,1,150152.99,1,202.0546333,1,1909.35,1,102927528.2
Dairy72,BRD,8/26/20,80.29,102.7,0.61,3,1,2191376.84,1,4855747.57,1,216.2204045,1,6225.35,1,218284274.4
Dairy73,Healthy,9/30/20,54.88,103.1,0.71,6,1,2101.02,1,124645.62,1,244.7969631,1,4042.05,1,36472842.95
Dairy74,BRD,9/10/20,62.08,103.6,0.65,4,1,120327.85,1,309396.41,1,181.1110581,1,2317.72,1,371914405
Dairy75,Healthy,8/26/20,80.29,103.5,0.61,1,1,3600.62,1,809086.21,1,240.6944521,1,585098.6,1,453906252.9
Dairy76,Healthy,7/14/20,72.71,102.5,0.62,3,0,0,1,105561.86,1,245.5607528,0,0,1,25236953.66
Dairy77,BRD,8/26/20,80.29,105.2,0.61,2,1,1072691.12,1,3199784.63,1,156.183973,1,32183.41,1,588721469.9
Dairy78,BRD,8/26/20,80.29,102.9,0.61,3,1,213266.99,1,151424.54,1,165.5795449,1,10000.42,1,123891960.5
Dairy79,BRD,9/10/20,62.08,103,0.65,4,0,0,1,964127.51,1,173.1143018,1,1649.16,1,475833620.5
Dairy80,Healthy,9/10/20,62.08,103.1,0.65,4,1,30398.87,1,1305737.8,1,157.6762962,1,132025.09,1,77687626.79
Dairy81,Healthy,9/30/20,54.88,102.9,0.71,6,1,1476.37,1,2130416.96,1,205.7725898,1,1129.52,1,236110018.1
Dairy82,Healthy,8/26/20,80.29,103.3,0.61,1,1,1596581.26,1,257675.94,1,171.7756373,0,0,1,32998602.79
Dairy83,Healthy,7/14/20,72.71,102.6,0.62,3,1,1436.48,1,629372.48,1,207.935736,1,71838.68,1,228053833.4
Dairy84,Healthy,8/26/20,80.29,104.1,0.61,3,1,5126487.52,1,652558.35,1,151.5956191,1,2501.82,1,306620962.9
Dairy85,BRD,8/26/20,80.29,103.4,0.61,1,1,127423.12,1,1814340.66,1,278.5104624,1,302936.23,1,36200481.6
Dairy86,Healthy,8/26/20,80.29,103.4,0.61,2,0,0,1,9171865.19,1,147.880065,1,11241.7,1,92030483.48
Dairy87,BRD,9/30/20,54.88,103.6,0.645,3,1,15100.97,1,4378303.1,1,150.3410108,1,83742.01,1,116272199.7
Dairy88,BRD,7/21/20,74,104.7,0.45,0,0,0,1,121768.52,0,0,0,0,1,4967512471
Dairy89,Healthy,9/30/20,54.88,102.9,0.645,3,0,0,0,0,1,282.499582,0,0,1,30016392.27
Dairy90,Healthy,9/30/20,54.88,103,0.645,3,1,2897.65,1,100383.67,1,172.2502225,1,1086.58,1,73610460.98
Dairy91,Healthy,10/14/20,57.63,102.7,0.68,6,0,0,1,270527.75,1,191.7660631,1,259762.5,1,330885647.5
Dairy92,BRD,10/14/20,57.63,103.4,0.68,6,1,375215.66,1,5386.99,1,161.2884706,0,0,1,302944388.9
Dairy93,BRD,10/14/20,57.63,104.7,0.68,6,0,0,1,284969.92,1,220.9378568,1,71410.03,1,86543268.47
Dairy94,BRD,8/19/20,66.25,103.2,0.72,5,0,0,1,68743.71,1,312.3523974,0,0,1,413587557.1
Dairy95,BRD,9/10/20,62.08,104.6,0.72,3,1,6469690.98,1,54684.94,1,146.7861817,1,1400380.05,1,1.54E+11
Dairy96,Healthy,9/10/20,62.08,103.4,0.72,3,1,60620.1,1,1592073.67,1,202.4553821,1,6575646.15,1,411855875.3
Dairy97,Healthy,9/10/20,62.08,102.8,0.72,3,1,56135.78,1,21244.72,1,204.3211934,1,3514604.57,1,46275074.56
Dairy98,BRD,9/10/20,62.08,102.5,0.72,3,1,4794374.55,1,9095662.37,1,132.0240903,1,3120351.71,1,3584980954
Dairy99,Healthy,10/14/20,57.63,103.3,0.68,6,0,0,1,152569.28,1,209.3198544,0,0,1,226090677.5
Dairy100,BRD,9/10/20,62.08,103.2,0.78,8,0,0,1,522555.88,1,271.6233781,1,373529.92,1,96357275.04
Dairy101,BRD,9/30/20,54.88,106.5,0.645,3,1,112930.58,1,243509.51,1,161.0924283,0,0,1,491371131.7
Dairy102,Healthy,10/14/20,57.63,102.7,0.68,5,0,0,1,15340.12,1,233.682741,1,601832.11,1,133043208.3
Dairy103,BRD,10/14/20,57.63,105.2,0.68,5,1,37827.53,1,463125.53,1,171.7478488,1,806088.07,1,1496127378
Dairy104,Healthy,9/30/20,54.88,102.9,0.645,2,1,43918.44,1,2961672.88,1,253.8046999,0,0,1,149139248.8
Dairy105,Healthy,9/30/20,54.88,102.5,0.645,2,0,0,1,64349.58,1,153.7007811,0,0,1,28722690.39
Dairy106,BRD,9/30/20,54.88,103.3,0.645,2,1,1055122.17,1,360694.84,1,178.9020276,1,244620.8,1,982112330.9
