Phylum	Class	Order	Family	Genus	Species	Confidence	OTUs		Query id									
D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Bacteroidaceae	D_5__Bacteroides	D_5__Bacteroides	1	8001826dafd338cf078dd28c2eae05ed		8001826dafd338cf078dd28c2eae05ed	t'								
D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Neisseriaceae	D_5__Neisseria	D_6__Neisseria meningitidis	0.9466586	8224351b2abd16dd4d58c3015ff5e795		8224351b2abd16dd4d58c3015ff5e795	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Lactobacillales	D_4__Lactobacillaceae	D_5__Lactobacillus	D_5__Lactobacillus	0.9999957	8704ce4c5605422c12934d9bdd82fd3e		8704ce4c5605422c12934d9bdd82fd3e	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Lachnospiraceae	D_4__Lachnospiraceae	D_4__Lachnospiraceae	0.9937417	87d75b05996f47e3e46080be81fc6391		87d75b05996f47e3e46080be81fc6391	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiales vadinBB60 group	D_5__uncultured bacterium	D_6__uncultured bacterium	0.9989937	8bd1adac0f0c525654b403f629f356c3		8bd1adac0f0c525654b403f629f356c3	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Peptostreptococcaceae	D_5__Terrisporobacter	D_6__uncultured bacterium	0.9236949	8d703908c09c7cb0da2a4398dd74f9f8		8d703908c09c7cb0da2a4398dd74f9f8	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Lachnospiraceae	D_5__Lachnospiraceae NK4A136 group	D_5__Lachnospiraceae NK4A136 group	0.7042944	8f0b57f9c723a25fe2786a233635bbe6		8f0b57f9c723a25fe2786a233635bbe6	t'								
D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Beijerinckiaceae	D_5__Methylobacterium	D_5__Methylobacterium	0.9999724	92f1720367db58c68a96eceb9feb416a		92f1720367db58c68a96eceb9feb416a	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Lactobacillales	D_4__Enterococcaceae	D_5__Enterococcus	D_5__Enterococcus	0.9979295	9908fffab7ed4f3bec44cda2f5084d49		9908fffab7ed4f3bec44cda2f5084d49	t'								
D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Bacteroidaceae	D_5__Bacteroides	D_5__Bacteroides	1	99deb3c5ecb022ec05609ebd1112a557		99deb3c5ecb022ec05609ebd1112a557	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Bacillaceae	D_5__Bacillus	D_5__Bacillus	0.9927804	aa262a679a62131ab374c867bee92cb2		aa262a679a62131ab374c867bee92cb2	t'								
D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Bacteroidaceae	D_5__Bacteroides	D_5__Bacteroides	1	b2062ae94fb00a931014b67b499295a8		b2062ae94fb00a931014b67b499295a8	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Lactobacillales	D_4__Lactobacillaceae	D_5__Lactobacillus	D_6__Lactobacillus aviarius	0.9800324	bd569194c3d7c9dc1817718bf17a19b2		bd569194c3d7c9dc1817718bf17a19b2	t'								
D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Enterobacteriales	D_4__Enterobacteriaceae	D_5__Escherichia-Shigella	D_5__Escherichia-Shigella	0.9905927	bda4c1aa9e64cbd8b5125a0f174972a2		bda4c1aa9e64cbd8b5125a0f174972a2	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Bacillaceae	D_5__Bacillus	D_5__Bacillus	0.9965107	bdf8a26094624622d68509a87fa75ba7		bdf8a26094624622d68509a87fa75ba7	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Lactobacillales	D_4__Streptococcaceae	D_5__Streptococcus	D_5__Streptococcus	0.9998446	beafc9c436f07912aea9ca039e2400fe		beafc9c436f07912aea9ca039e2400fe	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Ruminococcaceae	D_5__Subdoligranulum	D_5__Subdoligranulum	0.9999346	c05f076ac62c8669b98291765616cd8f		c05f076ac62c8669b98291765616cd8f	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae 1	D_5__Clostridium sensu stricto 1	D_5__Clostridium sensu stricto 1	0.9999392	cb97fb83d4c8cc6eccded352a4ca3f8f		cb97fb83d4c8cc6eccded352a4ca3f8f	t'								
D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Enterobacteriales	D_4__Enterobacteriaceae	D_5__Escherichia-Shigella	D_5__Escherichia-Shigella	0.9935085	d46e2205f0c6ecf67b51f83d111c509c		d46e2205f0c6ecf67b51f83d111c509c	t'								
D_1__Actinobacteria	D_2__Actinobacteria	D_3__Actinomycetales	D_4__Actinomycetaceae	D_5__Actinomyces	D_5__Actinomyces	1	df8456a1abbfb4c8a2c450b44378d4cb		df8456a1abbfb4c8a2c450b44378d4cb	t'								
D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Rhodobacter	D_6__Rhodobacter sphaeroides	0.9077657	dffc86cefa76e3e3d93e7eea450e6807		dffc86cefa76e3e3d93e7eea450e6807	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Lactobacillales	D_4__Lactobacillaceae	D_5__Lactobacillus	D_5__Lactobacillus	0.9999987	e147f17187ee6e0d8e84bdd370bfb053		e147f17187ee6e0d8e84bdd370bfb053	t'								
D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Porphyromonadaceae	D_5__Porphyromonas	D_6__uncultured organism	0.8922901	e21e804c8cb49a5e0492b8fc5454220f		e21e804c8cb49a5e0492b8fc5454220f	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Lactobacillales	D_4__Streptococcaceae	D_5__Streptococcus	D_6__Streptococcus agalactiae	0.9467844	e3055f1b3a2ef5ffe239567f02e0e758		e3055f1b3a2ef5ffe239567f02e0e758	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Lactobacillales	D_4__Streptococcaceae	D_5__Streptococcus	D_6__Streptococcus mutans	0.9869345	e7cfd084265c4df4856ca07b1c9b24ee		e7cfd084265c4df4856ca07b1c9b24ee	t'								
D_1__Epsilonbacteraeota	D_2__Campylobacteria	D_3__Campylobacterales	D_4__Helicobacteraceae	D_5__Helicobacter	D_6__Helicobacter pylori	0.9223864	e832be098a5318684958d14305267752		e832be098a5318684958d14305267752	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Lachnospiraceae	D_4__Lachnospiraceae	D_4__Lachnospiraceae	0.9999998	e9c788e08d5e698c0c90175a9770a1db		e9c788e08d5e698c0c90175a9770a1db	t'								
D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Pseudomonadales	D_4__Moraxellaceae	D_5__Acinetobacter	D_5__Acinetobacter	0.999865	ea403646ed22d679fa4586263d8fc32f		ea403646ed22d679fa4586263d8fc32f	t'								
D_1__Actinobacteria	D_2__Coriobacteriia	D_3__Coriobacteriales	D_4__Atopobiaceae	D_5__Olsenella	D_6__uncultured bacterium	0.9953911	ebc218731152df078258b869f0eeff3e		ebc218731152df078258b869f0eeff3e	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Staphylococcaceae	D_5__Staphylococcus	D_5__Staphylococcus	0.9907175	ec9a9402329d2ac5ccad9768b230be07		ec9a9402329d2ac5ccad9768b230be07	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Staphylococcaceae	D_5__Staphylococcus	D_5__Staphylococcus	0.9994605	fe46b93a1076dd5ed02b1aff8b11d18f		fe46b93a1076dd5ed02b1aff8b11d18f	t'								
D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Pseudomonadales	D_4__Pseudomonadaceae	D_5__Pseudomonas	D_5__Pseudomonas	0.9998663	ff9d93d7b7e46787568f2d241caeaf3b		ff9d93d7b7e46787568f2d241caeaf3b	t'								
